motherboard_brand,motherboard_chipset,cpu_brand,cpu_model,ram_brand,ram_size_gb,ram_type,ram_speed_mhz,gpu_brand,gpu_model,cooler_brand,cooler_type,cabinet_brand,cabinet_type,psu_brand,psu_wattage,storage_type,storage_capacity_gb,total_price
evga,a520,amd,amd_ryzen_9_7950x,g_skill,8_gb,ddr4,4000_mhz,nvidia,gtx_1650,deepcool,air,corsair,mid_tower,corsair_(budget),650_wattage,ssd_nvme,2000_gb,115949.0
intel,b650,amd,amd_ryzen_9_7950x,crucial,16_gb,ddr4,2666_mhz,nvidia,rtx_4070,deepcool,air,thermaltake,mini-itx,cooler_master,1000_wattage,hdd,2000_gb,227969.0
intel,b660,intel,intel_pentium_gold_g7400,g_skill,16_gb,ddr4,4000_mhz,amd,radeon_rx_7600,cooler_master,aio_360mm,fractal_design,mini-itx,seasonic,750_wattage,ssd_sata,256_gb,95098.0
msi,h670,intel,intel_core_i7-13700k,kingston,64_gb,ddr4,4000_mhz,nvidia,rtx_4090,noctua,aio_240mm,nzxt,full_tower,corsair_(budget),1200_wattage,ssd_sata,2000_gb,326180.70000000007
gigabyte,b650,amd,amd_ryzen_7_7700x,patriot,16_gb,ddr5,5600_mhz,nvidia,gtx_1650,cooler_master,stock,fractal_design,mid_tower,seasonic,450_wattage,ssd_sata,2000_gb,100054.0
asrock,h610,intel,intel_pentium_gold_g7400,adata,32_gb,ddr5,3200_mhz,nvidia,gtx_1650,stock_cooler,air,corsair,microatx,corsair_(budget),650_wattage,ssd_nvme,512_gb,61933.0
intel,h610,intel,intel_core_i5-13600k,g_skill,8_gb,ddr4,3600_mhz,nvidia,gtx_1650,be_quiet!,air,cooler_master,mini-itx,antec,450_wattage,ssd_nvme,2000_gb,74558.0
intel,b650,amd,amd_athlon_3000g,patriot,16_gb,ddr4,3000_mhz,nvidia,gtx_1650,cooler_master,aio_360mm,antec,full_tower,corsair_(budget),550_wattage,ssd_nvme,2000_gb,75523.0
asus,h610,intel,intel_core_i5-13600k,g_skill,16_gb,ddr4,2400_mhz,nvidia,rtx_4090,noctua,aio_360mm,corsair,mini-itx,antec,850_wattage,hdd,2000_gb,306185.0
msi,z790,intel,intel_core_i3-13100,patriot,16_gb,ddr5,5200_mhz,nvidia,rtx_4090,stock_cooler,air,cooler_master,mid_tower,antec,850_wattage,ssd_nvme,1000_gb,326180.70000000007
asrock,b550,amd,amd_ryzen_9_7950x,corsair,16_gb,ddr4,2400_mhz,nvidia,rtx_4080,deepcool,air,nzxt,full_tower,evga,850_wattage,ssd_sata,1000_gb,223256.0
evga,x570,amd,amd_athlon_3000g,g_skill,8_gb,ddr4,3600_mhz,nvidia,rtx_4090,noctua,air,generic,full_tower,corsair,1200_wattage,ssd_nvme,256_gb,324354.0
biostar,z690,intel,intel_core_i9-13900k,adata,8_gb,ddr4,3200_mhz,nvidia,gtx_1650,corsair,air,corsair,mini-itx,corsair_(budget),650_wattage,ssd_nvme,256_gb,110857.0
asus,x670,amd,amd_athlon_3000g,g_skill,16_gb,ddr4,3000_mhz,nvidia,rtx_4080,cooler_master,air,cooler_master,mid_tower,evga,1000_wattage,ssd_nvme,512_gb,175495.0
msi,a520,amd,amd_athlon_3000g,adata,8_gb,ddr5,3600_mhz,nvidia,rtx_4070,corsair,aio_360mm,nzxt,microatx,corsair,750_wattage,ssd_nvme,1000_gb,165889.0
biostar,z790,intel,intel_core_i3-13100,corsair,32_gb,ddr4,3600_mhz,amd,radeon_rx_7600,cooler_master,air,cooler_master,mid_tower,corsair_(budget),650_wattage,ssd_nvme,2000_gb,106880.0
intel,b650,amd,amd_ryzen_7_7700x,teamgroup,8_gb,ddr5,3200_mhz,amd,radeon_rx_7600,deepcool,aio_240mm,generic,full_tower,corsair,850_wattage,ssd_nvme,2000_gb,144509.0
gigabyte,a520,amd,amd_ryzen_5_5600x,teamgroup,32_gb,ddr5,3600_mhz,nvidia,rtx_4070,corsair,air,antec,mini-itx,evga,750_wattage,hdd,2000_gb,202602.0
evga,a520,amd,amd_ryzen_5_7600x,adata,64_gb,ddr5,5600_mhz,amd,radeon_rx_7900_xtx,noctua,aio_120mm,antec,full_tower,corsair_(budget),850_wattage,ssd_sata,256_gb,326180.70000000007
evga,h670,intel,intel_core_i5-13600k,crucial,16_gb,ddr4,2666_mhz,nvidia,rtx_3060,cooler_master,aio_120mm,thermaltake,mid_tower,cooler_master,650_wattage,ssd_sata,1000_gb,103822.0
biostar,h670,intel,intel_core_i7-13700k,teamgroup,16_gb,ddr4,3000_mhz,nvidia,gtx_1650,cooler_master,aio_240mm,corsair,full_tower,cooler_master,450_wattage,ssd_sata,2000_gb,96282.0
evga,x570,amd,amd_ryzen_7_7700x,crucial,8_gb,ddr4,2400_mhz,nvidia,rtx_4080,stock_cooler,aio_120mm,corsair,mid_tower,corsair_(budget),850_wattage,ssd_nvme,1000_gb,204560.0
intel,b550,amd,amd_athlon_3000g,teamgroup,32_gb,ddr5,3600_mhz,nvidia,rtx_3060,cooler_master,aio_240mm,generic,microatx,cooler_master,750_wattage,ssd_nvme,1000_gb,105930.0
msi,b650,amd,amd_ryzen_9_7950x,crucial,16_gb,ddr4,2400_mhz,nvidia,rtx_4070,deepcool,air,fractal_design,mid_tower,cooler_master,1000_wattage,hdd,2000_gb,234569.0
biostar,b550,amd,amd_ryzen_5_5600x,adata,32_gb,ddr5,4800_mhz,nvidia,rtx_4090,stock_cooler,aio_240mm,corsair,microatx,antec,1200_wattage,ssd_nvme,256_gb,322367.0
msi,z790,intel,intel_core_i3-13100,crucial,16_gb,ddr5,4800_mhz,nvidia,rtx_3060,deepcool,air,nzxt,mid_tower,seasonic,750_wattage,ssd_sata,256_gb,102756.0
intel,x670,amd,amd_ryzen_7_7700x,g_skill,8_gb,ddr5,3200_mhz,nvidia,rtx_4080,corsair,aio_240mm,thermaltake,mid_tower,evga,750_wattage,ssd_nvme,1000_gb,219061.0
asrock,b650,amd,amd_ryzen_5_5600x,adata,16_gb,ddr4,2400_mhz,nvidia,rtx_4070,be_quiet!,aio_240mm,thermaltake,mid_tower,corsair_(budget),850_wattage,ssd_nvme,1000_gb,196120.0
asus,h670,intel,intel_core_i3-13100,patriot,32_gb,ddr5,3600_mhz,nvidia,gtx_1650,corsair,aio_120mm,generic,microatx,antec,650_wattage,ssd_sata,256_gb,71966.0
biostar,h610,intel,intel_core_i3-13100,crucial,16_gb,ddr5,4800_mhz,amd,radeon_rx_7800_xt,corsair,air,antec,mini-itx,seasonic,1000_wattage,ssd_sata,2000_gb,172735.0
evga,h670,intel,intel_core_i3-13100,teamgroup,8_gb,ddr5,3600_mhz,nvidia,rtx_4080,be_quiet!,air,cooler_master,microatx,evga,1000_wattage,ssd_nvme,1000_gb,166810.0
gigabyte,z790,intel,intel_core_i7-13700k,adata,64_gb,ddr4,2666_mhz,nvidia,rtx_4070,be_quiet!,aio_120mm,generic,full_tower,seasonic,850_wattage,ssd_sata,512_gb,249611.0
gigabyte,b650,amd,amd_athlon_3000g,teamgroup,16_gb,ddr4,2400_mhz,nvidia,rtx_3060,corsair,air,generic,microatx,cooler_master,650_wattage,ssd_nvme,256_gb,79043.0
asus,b650,amd,amd_ryzen_5_7600x,adata,16_gb,ddr4,3600_mhz,nvidia,rtx_3060,be_quiet!,stock,thermaltake,mid_tower,corsair,850_wattage,ssd_nvme,512_gb,102446.0
msi,h610,intel,intel_core_i7-13700k,g_skill,8_gb,ddr5,5600_mhz,nvidia,rtx_4090,stock_cooler,air,nzxt,full_tower,antec,1200_wattage,hdd,2000_gb,326180.70000000007
gigabyte,z690,intel,intel_core_i7-13700k,corsair,8_gb,ddr5,5600_mhz,nvidia,gtx_1650,deepcool,air,antec,microatx,antec,650_wattage,ssd_nvme,256_gb,94950.0
